individual-local-identifier,level_1,x,y,z,total_seconds_normalized
88732,9707,0.5975483825540497,-0.28714401786309685,0.7486549562465186,0.028281979617160048
88732,9710,0.5974574110210974,-0.28706179717321995,0.7487590844989119,0.028444673240784136
88732,9720,0.603815149928337,-0.277149585436621,0.747392381556923,0.031725256606696665
88732,9722,0.6038595932265031,-0.27692758640701426,0.7474387624114152,0.03176896534140164
88732,9728,0.6041164968409319,-0.2765861269919087,0.7473575935255198,0.03204821559090567
88732,9732,0.6043323320486039,-0.2754228490630688,0.7476126581691069,0.03228375710570472
88732,9734,0.6093786877697281,-0.2687553207944048,0.7459411454241821,0.034969416027021714
88732,9735,0.6089156254044512,-0.2697706932694751,0.7459527694105123,0.035153964017998286
88732,9737,0.6099562188018749,-0.26925167794267635,0.7452898396395677,0.03517824664838994
88732,9741,0.6107025427015308,-0.268105099387938,0.7450919809124702,0.03539436205887567
88732,9746,0.6167111462516465,-0.2679488848915213,0.7401829214284605,0.03862395190096572
88732,9749,0.6166765171652266,-0.2681257831938179,0.7401477133408356,0.0386530910574357
88732,9751,0.6164874376757844,-0.26872191724372874,0.7400890286856038,0.0388643499418431
88732,9753,0.6171612572676555,-0.2681444492907543,0.739736802411753,0.03911446103487714
88732,9757,0.6171349295021422,-0.26865815084659767,0.7395723607410385,0.03919702197820877
88732,9761,0.6235605044164563,-0.26377427810755766,0.7359316731468564,0.04209151152089399
88732,9764,0.6224393777625825,-0.2638509266018979,0.7368527054587294,0.04259901849607957
88732,9770,0.6303905400422432,-0.259377840944611,0.7316631073466537,0.04575818871003383
88732,9774,0.6314653025178829,-0.25806913517611973,0.7311989422759364,0.04604472374865535
88732,9776,0.6312665905481961,-0.25757656687867436,0.7315441229704821,0.0461321412180653
88732,9778,0.6312447375126399,-0.25779900798380295,0.7314846224256293,0.04628512178953273
88732,9780,0.636221435029406,-0.2535692188224005,0.7286459612698892,0.04896106765869306
88732,9784,0.6366095307198132,-0.25324761197807094,0.728418802904005,0.04903634381290719
88732,9786,0.6369475217505541,-0.25401320956247436,0.727856540743846,0.049211178751727105
88732,9792,0.6389036779270133,-0.25245693594390256,0.7266825894605923,0.049599700837993574
88732,9799,0.6487517182651021,-0.24304886551078836,0.7211438532096051,0.05265445574126372
88732,9803,0.6486451181572872,-0.24286692942059773,0.721301022655957,0.05299441256674688
88732,9805,0.6488224327695603,-0.24307535804961306,0.7210713009432852,0.05306968872096101
88732,9816,0.660539393899745,-0.23662440932790768,0.71252831383516,0.05647168523883181
88732,9820,0.6610164913663674,-0.2365089755510246,0.7121240781110424,0.05660523970598591
88732,9828,0.6707955990053028,-0.22995246397040298,0.7050922837962826,0.059543437983376114
88732,9832,0.6714952716950866,-0.2283602576773837,0.704943751518276,0.05993924485876008
88732,9840,0.6799457271037787,-0.21617486329391214,0.7006727029599285,0.06297700192075606
88732,9844,0.6804699029108908,-0.21545261996810433,0.7003862361449733,0.0631639781747718
88732,9851,0.6812741691470928,-0.2138771314531947,0.700087193922508,0.06371033735858403
88732,9855,0.6853754045788274,-0.20618326801659836,0.6983903026162406,0.06663396605773923
88732,9857,0.6852146052257126,-0.2062522739720378,0.6985276975659119,0.06665824868813089
88732,9864,0.6864629654857666,-0.20429131063001194,0.697877967425222,0.06716089913723815
88732,9866,0.6864214309808245,-0.2041746234283227,0.6979529656346048,0.0671851817676298
88732,9870,0.6900351950371741,-0.19686120478719857,0.6964891209916646,0.07010881046678501
88732,9875,0.6905988256285418,-0.19687863492417024,0.6959253301546613,0.07064788486147973
88732,9885,0.6902081412813109,-0.1962984247984134,0.6964765969726905,0.07412030100748633
88732,9896,0.6919438963291741,-0.19444453505804474,0.6952733039020426,0.07754172362967046
88732,9898,0.6917346990688201,-0.19451601880290176,0.6954614471940469,0.07759028889045377
88732,9900,0.6917232947751535,-0.19401785941800517,0.6956119275086227,0.07771655856849037
88732,9901,0.6915040984872048,-0.1957802237724276,0.6953360236281566,0.08042407185715986
88732,9903,0.691425451555079,-0.1960577955268263,0.6953360236281566,0.08045806753970818
88732,9905,0.6913596201672729,-0.19615646414001742,0.695373652922118,0.08052120237872647
88732,9907,0.6910151116162156,-0.19687995051569787,0.6955116106888262,0.08076160041960385
88732,9908,0.6911357315140162,-0.19614507676073048,0.6955993886477423,0.08092429404322794
88732,9920,0.691134434465755,-0.197213942161527,0.695298392427892,0.08448169939560533
88732,9921,0.6912348058199475,-0.19699472015983532,0.6952607593214274,0.08452540813031031
88732,9925,0.6910940960196263,-0.1968242106076077,0.6954489057907184,0.08476823443422685
88732,9932,0.6900994778850201,-0.19628053922509867,0.6965893055052791,0.08803667648494355
88732,9934,0.6895296999093181,-0.19708143615552276,0.69692732796601,0.08823822231719429
88732,9939,0.6930362824230959,-0.18991833673312128,0.6954363641755439,0.09142167516154019
88732,9943,0.6931105516215421,-0.190289883542646,0.6952607593214274,0.09147509694840184
88732,9945,0.6935958820877057,-0.18925201398637587,0.6950600172309425,0.09170092541104423
88732,9948,0.6957645476852886,-0.18820075085499932,0.693175426253629,0.0944157234888312
88732,9949,0.6948698619822384,-0.18941720999435957,0.6937413029845763,0.0944230082779487
88732,9951,0.6947519137630065,-0.1896195594149347,0.6938041517675763,0.09449099964304533
88732,9953,0.6949584162063598,-0.19074503188760902,0.6932886358178266,0.09465126500363025
88732,9955,0.6949684533444319,-0.19089127004556072,0.693238322567673,0.09489651957058597
88732,9956,0.694089611692157,-0.19084530912624934,0.6941308802564089,0.09493051525313428
88732,9958,0.6949617895586832,-0.19091552890467453,0.693238322567673,0.09517576982008999
88732,9960,0.701334314232943,-0.18748908875645648,0.6877339756596886,0.09793670489562112
88732,9966,0.7010550339649054,-0.1876504309396743,0.6879746762204404,0.09859476417923495
88732,9975,0.7176253965053548,-0.1914953373206012,0.669584442826296,0.10498109597224009
88732,9986,0.7193910381043008,-0.193648697781229,0.6670657509892488,0.10571443141006806
88732,9990,0.7268780722560096,-0.20327625214102574,0.6559931656571472,0.108516646957265
88732,9993,0.7278034906575667,-0.20353505150712436,0.6548859150986938,0.10878618415461236
88732,9995,0.7280213259791197,-0.20424002349280176,0.6544241451255173,0.1089173103587273
88732,9997,0.7283094459339637,-0.20464997559779086,0.6539753347422106,0.1090508648258814
88732,10005,0.7354452613342954,-0.21394501571751437,0.6429212998731357,0.11225860030061896
88732,10007,0.7358353979546816,-0.21416994974866774,0.6423997974326646,0.11236058734826392
88732,10009,0.7360052316262846,-0.21474897257024717,0.6420118206067256,0.112523280971888
88732,10015,0.7431550624579283,-0.220612333989102,0.6317046392381755,0.11548333361663068
88732,10017,0.7435269887774651,-0.22032742433443522,0.6313663303072701,0.11554646845564899
88732,10019,0.7444378659291983,-0.21938237515867678,0.6306216276346052,0.11573344470966473
